date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:37	102146/102146	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jan%202025%2013:17:23%20GMT	https://az-rio.webflow.io/home	C:/Users/MCdns/axisgovwebsite/AXISGOV/az-rio.webflow.io/home.html	(from )
16:59:37	63747/63747	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202025%2021:43:44%20GMT	https://az-rio.webflow.io/what-we-do	C:/Users/MCdns/axisgovwebsite/AXISGOV/az-rio.webflow.io/what-we-do.html	(from )
16:59:38	84520/84520	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2017:19:20%20GMT	https://az-rio.webflow.io/who-we-are	C:/Users/MCdns/axisgovwebsite/AXISGOV/az-rio.webflow.io/who-we-are.html	(from )
16:59:38	55490/55490	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2017:19:34%20GMT	https://az-rio.webflow.io/insights	C:/Users/MCdns/axisgovwebsite/AXISGOV/az-rio.webflow.io/insights.html	(from )
16:59:38	62621/62621	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2017:19:43%20GMT	https://az-rio.webflow.io/showcases	C:/Users/MCdns/axisgovwebsite/AXISGOV/az-rio.webflow.io/showcases.html	(from )
16:59:38	49006/49006	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2021:50:22%20GMT	https://az-rio.webflow.io/contact	C:/Users/MCdns/axisgovwebsite/AXISGOV/az-rio.webflow.io/contact.html	(from )
16:59:39	59416/59416	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2002:04:29%20GMT	https://az-rio.webflow.io/post/discovering-webflow	C:/Users/MCdns/axisgovwebsite/AXISGOV/az-rio.webflow.io/post/discovering-webflow.html	(from )
16:59:39	58808/58808	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202025%2016:32:55%20GMT	https://az-rio.webflow.io/showcase/quantumtech	C:/Users/MCdns/axisgovwebsite/AXISGOV/az-rio.webflow.io/showcase/quantumtech.html	(from )
16:59:39	28173/28173	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2021:52:33%20GMT	https://az-rio.webflow.io/404	C:/Users/MCdns/axisgovwebsite/AXISGOV/az-rio.webflow.io/404.html	(from )
16:59:40	44109/44109	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2019:44:22%20GMT	https://az-rio.webflow.io/privacy	C:/Users/MCdns/axisgovwebsite/AXISGOV/az-rio.webflow.io/privacy.html	(from )
